url,price_in_rp,title,address,district,city,lat,long,facilities,property_type,ads_id,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,electricity,maid_bedrooms,maid_bathrooms,floors,building_age,year_built,property_condition,building_orientation,garages,furnishing
https://www.rumah123.com/properti/bekasi/hos11360272/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,2990000000.0,"Rumah cantik Sumarecon Bekasi
Lingkungan asri, tenang & nyaman","Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Tempat Jemuran, Jalur Telepon, Taman,  Taman",rumah,hos11360272,4.0,4.0,239.0,272.0,0.0,shm - sertifikat hak milik,4400 mah,0.0,1.0,2.0,5.0,2017.0,bagus,,0.0,unfurnished
https://www.rumah123.com/properti/bekasi/hos10680347/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,1270000000.0,"Rumah Kekinian, Magenta Summarecon Bekasi","Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,Taman,rumah,hos10680347,3.0,2.0,55.0,69.0,1.0,hgb - hak guna bangunan,2200 mah,0.0,0.0,2.0,,,bagus,,0.0,
https://www.rumah123.com/properti/bekasi/hos10685867/#qid~f6c2cf9d-44fa-4c1a-8749-8ee96b116e93,1950000000.0,Rumah Cantik 2 Lantai Cluster Bluebell Summarecon Bekasi,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751," Jogging Track,  Kolam Renang, Masjid,  Taman, Jalur Telepon,  Keamanan",rumah,hos10685867,3.0,3.0,119.0,131.0,1.0,hgb - hak guna bangunan,2200 mah,1.0,1.0,2.0,,,bagus,,1.0,unfurnished
https://www.rumah123.com/properti/bekasi/hos10927790/#qid~f6c2cf9d-44fa-4c1a-8749-8ee96b116e93,3300000000.0,Rumah Mewah 2Lantai L10x18 C di Cluster VERNONIA Summarecon Bekasi..,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751," Jalur Telepon,  Jogging Track, Track Lari,  Kolam Renang, Kolam Renang,  Taman, Taman, CCTV, Jalur Telepon,  Keamanan",rumah,hos10927790,3.0,3.0,180.0,174.0,0.0,shm - sertifikat hak milik,3500 mah,1.0,1.0,2.0,6.0,2016.0,bagus sekali,utara,2.0,unfurnished
https://www.rumah123.com/properti/bekasi/hos10785530/#qid~1807f915-9393-4e9c-a6d6-eb3d73117a15,4500000000.0,"Rumah Hoek di Cluster Maple Summarecon Bekasi, Bekasi","Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751," Jogging Track,  Kolam Renang, Taman, Jalur Telepon,  Keamanan",rumah,hos10785530,4.0,3.0,328.0,196.0,2.0,shm - sertifikat hak milik,3500 mah,1.0,1.0,2.0,9.0,2013.0,bagus,utara,1.0,unfurnished
https://www.rumah123.com/properti/bekasi/hos11177142/#qid~1807f915-9393-4e9c-a6d6-eb3d73117a15,2700000000.0,"Rumah Siap Huni di Cluster Acasia, Summarecon Bekasi","Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Jalur Telepon, Taman,  Keamanan,  Kolam Renang",rumah,hos11177142,3.0,3.0,136.0,200.0,2.0,shm - sertifikat hak milik,3500 mah,1.0,1.0,2.0,9.0,2013.0,bagus,selatan,1.0,semi furnished
https://www.rumah123.com/properti/bekasi/hos10720117/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,2350000000.0,Rumah di Cluster Maple Summarecon Bekasi,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Keamanan, Kolam Renang",rumah,hos10720117,2.0,2.0,144.0,144.0,1.0,hgb - hak guna bangunan,4400 mah,0.0,0.0,2.0,,,,utara,1.0,
https://www.rumah123.com/properti/bekasi/hos10753439/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,4500000000.0,Rumah Cluster Lotus Summarecon Bekasi,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Keamanan, Kolam Renang",rumah,hos10753439,4.0,4.0,216.0,250.0,2.0,hgb - hak guna bangunan,3500 mah,1.0,1.0,2.0,,,,selatan,1.0,
https://www.rumah123.com/properti/bekasi/hos11127849/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,2900000000.0,Rumah Cluster Palm Summarecon Bekasi,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,Kitchen Set,rumah,hos11127849,,3.0,200.0,152.0,2.0,shm - sertifikat hak milik,4400 mah,3.0,1.0,2.0,,,,selatan,0.0,semi furnished
https://www.rumah123.com/properti/bekasi/hos11169103/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,2700000000.0,Rumah Cluster Acacia Summarecon Bekasi,"Summarecon Bekasi, Bekasi",Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Keamanan 24 jam, Kolam Renang",rumah,hos11169103,3.0,3.0,136.0,200.0,1.0,shm - sertifikat hak milik,3500 mah,1.0,1.0,2.0,,,,selatan,1.0,semi furnished
